EXPEDIENTE,FECHA DE INGRESO,FECHA DE CIERRE,TIPO DE CONCILIACIÓN,ESTADO PROCESAL,PROVEEDOR,NOMBRE COMERCIAL,GIRO,SECTOR,ODECO,ESTADO,TIPO DE RECLAMACIÓN,MOTIVO DE RECLAMACIÓN,COSTO BIEN O SERVICIO,MONTO RECLAMADO,MONTO RECUPERADO,PROCEDIMIENTO,BIEN O SERVICIO,MEDIO DE INGRESO,TIPO PRODUCTO,MODALIDAD DE COMPRA,MODALIDAD PAGO,PROBLEMA ESPECIAL
PFC.GTO.B.3/001255-2022,06/15/22,07/12/22,Turnada a Concil Person p/seg,Desistimiento,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Prestación de Servicios de Internet,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Entrega del producto o servicio,Negativa a la entrega,463.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.GTO.B.3/001270-2022,06/16/22,07/29/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Prestación de Servicios de Internet,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Cobro indebido,Negativa a corregir errores,20342.00,20342.00,20342,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.GTO.B.3/001284-2022,06/17/22,11/18/22,Turnada a Concil Person p/seg,Desistimiento,"INTER CABLE CONEXION, SA DE CV",INTER CABLE CONEXIÓN,Prestación de Servicios de Internet,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Entrega del producto o servicio,Negativa a la entrega,400.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.GTO.B.3/001291-2022,06/20/22,09/14/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Cobro indebido,Negativa a corregir errores,60489.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio adicional o conexo,Imposición del proveedor,Plazos,No problema especial
PFC.GTO.B.3/001293-2022,06/20/22,08/11/22,Turnada a Concil Person p/seg,Conciliada,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Cobro indebido,Negativa a corregir errores,1118.00,1118.00,1118,Conciliación personal,Servicio,Personal,Producto nuevo,En establecimiento físico,Plazos,No problema especial
PFC.GTO.B.3/001294-2022,06/20/22,11/18/22,Turnada a Concil Person p/seg,Desistimiento,"CORPORACION NOVAVISION, S DE RL DE CV",SKY,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Cobro indebido,Negativa a corregir errores,6423.00,6423.00,0,Conciliación personal,Servicio,Personal,Servicio adicional o conexo,Imposición del proveedor,Plazos,No problema especial
PFC.GTO.B.3/001328-2022,06/22/22,07/11/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Prestación de Servicios de Internet,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Cobro indebido,Negativa a corregir errores,349.00,2196.00,1098,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.GTO.B.3/001345-2022,06/24/22,11/16/22,Turnada a Concil Person p/seg,Conciliada,"WIMOB, S DE RL DE CV",XIAOMI,Empresa de telefonía celular,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Garantías,Negativa a hacerla efectiva,6999.00,6999.00,6999,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Contado,No problema especial
PFC.GTO.B.3/001345-2022,06/24/22,11/16/22,Turnada a Concil Person p/seg,Conciliada,"CTDI MEXICO, SA DE CV",CTDI,Empresa de telefonía celular,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Garantías,Negativa a hacerla efectiva,6999.00,6999.00,6999,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Contado,No problema especial
PFC.GTO.B.3/001351-2022,06/24/22,07/19/22,Turnada a Concil Person p/seg,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Cobro indebido,Negativa a corregir errores,6360.00,6360.00,6360,Conciliación personal,Servicio,Personal,Servicio adicional o conexo,Imposición del proveedor,Contado,No problema especial
PFC.GTO.B.3/001355-2022,06/27/22,07/12/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Prestación de Servicios de Internet,TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Cobro indebido,Negativa a corregir errores,531.00,531.00,531,Conciliación personal,Servicio,Personal,Servicio adicional o conexo,Imposición del proveedor,Contado,No problema especial
PFC.GTO.B.3/001372-2022,06/28/22,-,Turnada a Concil Person p/seg,En Trámite,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Entrega del producto o servicio,Negativa a la entrega,580.00,580.00,580,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.GTO.B.3/001378-2022,06/29/22,07/07/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona del Bajío (Guanajuato),Guanajuato,Cobro indebido,Negativa a corregir errores,1060.00,1060.00,1060,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001812-2022,06/01/22,06/14/22,Turnada a Concil Medios Elec.,Desistimiento,"CABLEVISION, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,398.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001813-2022,06/01/22,06/10/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,1047.00,1047.00,1047,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001814-2022,06/01/22,06/17/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,399.00,00,199,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/001815-2022,06/01/22,07/01/22,Turnada a Concil Medios Elec.,No Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,6099.00,0.00,0,Conciliación medios electrónic,Bien,Internet,Producto nuevo,Por internet,Contado,No problema especial
PFC.H.A.2/001816-2022,06/01/22,07/04/22,Turnada a Concil Medios Elec.,Conciliada,"CABLEVISION, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,600.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001817-2022,06/01/22,06/28/22,Turnada a Concil Medios Elec.,Desistimiento,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,500.00,300.0,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001818-2022,06/01/22,06/13/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,1265.84,50.00,470.01,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/001819-2022,06/01/22,06/21/22,Turnada a Concil Medios Elec.,No Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,485.00,0,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/001820-2022,06/01/22,07/12/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,294.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/001821-2022,06/01/22,07/15/22,Turnada a Concil Medios Elec.,No Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,230.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001822-2022,06/01/22,07/04/22,Turnada a Concil Medios Elec.,Desistimiento,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,4332.61,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001823-2022,06/02/22,07/28/22,Turnada a Concil Medios Elec.,No Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Incumplimiento de plazos,499.00,499.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001824-2022,06/02/22,07/07/22,Turnada a Concil Medios Elec.,Desistimiento,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,692.42,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/001825-2022,06/02/22,06/10/22,Turnada a Concil Medios Elec.,Conciliada,"CABLEVISION, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1200.00,1200.00,1200,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001826-2022,06/02/22,07/11/22,Turnada a Concil Medios Elec.,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,1947.00,1947.00,1947,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001827-2022,06/02/22,06/15/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,1988.73,0.00,900.51,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Contado,Telefonia Movil
PFC.H.A.2/001828-2022,06/02/22,06/15/22,Turnada a Concil Medios Elec.,Improcedente,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Producto o servicio equivocado,249.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.H.A.2/001829-2022,06/02/22,08/02/22,Turnada a Concil Medios Elec.,No Conciliada,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Negativa a bonificación,2800.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001830-2022,06/02/22,06/21/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,6000.00,0.00,2554.32,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001831-2022,06/02/22,06/13/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,298.00,298.00,298,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001832-2022,06/02/22,06/09/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Penalización por causa imputable al proveedor,6397.85,0,2422,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001833-2022,06/02/22,06/06/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,270.00,0.00,330,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001834-2022,06/02/22,06/06/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Producto o servicio equivocado,1002.51,0.00,1260,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/001835-2022,06/02/22,06/21/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Penalización por causa imputable al proveedor,999.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,Uso de internet/datos
PFC.H.A.2/001836-2022,06/02/22,06/16/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,19483.00,100.00,8909.23,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/001837-2022,06/02/22,07/18/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,599.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/001838-2022,06/02/22,06/14/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,524.21,00,408.08,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/001839-2022,06/02/22,06/10/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,509.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/001840-2022,06/02/22,07/19/22,Turnada a Concil Medios Elec.,Desistimiento,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Television por cable,TELECOMUNICACIONES,DGPCT,Ciudad de México,Contratos,Negativa a la recisión,809.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/001841-2022,06/02/22,06/10/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,599.00,2318.0,859,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/001842-2022,06/02/22,06/10/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,299.00,299.0,299,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/001843-2022,06/02/22,06/27/22,Turnada a Concil Medios Elec.,Desistimiento,"CABLEVISION, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,780.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/001844-2022,06/02/22,06/14/22,Turnada a Concil Medios Elec.,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,343.00,0.00,3299,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/001845-2022,06/03/22,06/23/22,Turnada a Concil Medios Elec.,Conciliada,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Television por cable,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,6289.00,0.00,12578.8,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,-,No problema especial
PFC.H.A.2/001846-2022,06/03/22,06/08/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,700.00,50.00,700,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/001847-2022,06/03/22,06/28/22,Turnada a Concil Medios Elec.,Desistimiento,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Incumplimiento de plazos,100.00,100.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001848-2022,06/03/22,07/01/22,Turnada a Concil Medios Elec.,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,30000.00,0.00,225.01,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/001849-2022,06/03/22,06/16/22,Turnada a Concil Medios Elec.,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Contratos,Negativa a la recisión,9074.45,00,9693.16,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/001850-2022,06/03/22,07/21/22,Turnada a Concil Medios Elec.,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,279.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/001851-2022,06/03/22,06/29/22,Turnada a Concil Medios Elec.,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,549.00,0.00,200,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/001852-2022,06/03/22,06/22/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,3464.03,3464.03,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/001853-2022,06/03/22,06/17/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,229.00,50.00,146,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/001854-2022,06/03/22,07/06/22,Turnada a Concil Medios Elec.,Desistimiento,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,4399.00,00,0,Conciliación medios electrónic,Bien,Internet,Producto nuevo,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/001855-2022,06/03/22,06/15/22,Turnada a Concil Medios Elec.,Conciliada,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Television por cable,TELECOMUNICACIONES,DGPCT,Ciudad de México,Contratos,Negativa a la recisión,665.00,00,1010.54,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/001856-2022,06/03/22,07/11/22,Turnada a Concil Medios Elec.,No Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,3393.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/001857-2022,06/03/22,06/10/22,Turnada a Concil Medios Elec.,Improcedente,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,399.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/001858-2022,06/06/22,06/21/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,996.24,100.00,192.66,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/001859-2022,06/06/22,08/02/22,Turnada a Concil Medios Elec.,Desistimiento,"CABLEMAS TELECOMUNICACIONES, SA DE CV,",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1125.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/001860-2022,06/06/22,06/21/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,460.00,100.00,600,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/001861-2022,06/06/22,06/14/22,Turnada a Concil Medios Elec.,Conciliada,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Contratos,Negativa a la recisión,350.00,0.00,100,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/001862-2022,06/06/22,06/13/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,527.00,0,527,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/001863-2022,06/06/22,06/16/22,Turnada a Concil Medios Elec.,Conciliada,"CABLEVISION RED, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,750.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,-,No problema especial
PFC.H.A.2/001864-2022,06/06/22,06/15/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,500.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/001865-2022,06/06/22,06/21/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,991.10,100.00,147.73,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
